Apoapsis,200km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Stage,Staging,Runmode,Parts
111.56,0,518.62,3.01,0.9,12.14,1.15,40141.75,76583.24,129.46,-407787.02,1,False,2,21,
112.18,0,502.27,3.01,0.89,11.94,1.11,40494.63,77631.14,131.83,-403032.13,1,False,2,21,
112.8,0,485.92,3.01,0.89,11.74,1.07,40847.73,78707.5,134.31,-398184.94,1,False,2,21,
113.42,0,469.6,3.01,0.88,11.55,1.03,41201.05,79814.19,136.88,-393244.07,1,False,2,21,
114.04,0,453.29,3.01,0.87,11.37,1,41554.59,80953,139.56,-388208.12,1,False,2,21,
114.66,0,437,3.01,0.87,11.18,0.97,41908.35,82126.08,142.36,-383075.79,1,False,2,21,
115.28,0,420.73,3.01,0.86,11,0.94,42262.34,83335.69,145.27,-377845.69,1,False,2,21,
115.9,0,404.47,3.01,0.86,10.83,0.91,42616.55,84584.28,148.31,-372516.49,1,False,2,21,
116.52,0,388.23,3.01,0.85,10.65,0.88,42971,85874.46,151.49,-367086.86,1,False,2,21,
117.14,0,372.01,3.01,0.85,10.48,0.84,43325.68,87209.08,154.82,-361555.58,1,False,2,21,
117.76,0,355.8,3.01,0.84,10.32,0.81,43680.6,88591.2,158.29,-355921.5,1,False,2,21,
118.38,0,339.61,3.01,0.84,10.15,0.79,44035.76,90024.16,161.94,-350183.55,1,False,2,21,
119,0,323.43,3.01,0.83,9.99,0.76,44391.17,91511.57,165.75,-344340.76,1,False,2,21,
119.62,0,307.27,3.01,0.83,9.84,0.73,44746.84,93057.36,169.76,-338392.32,1,False,2,21,
120.3,0,289.51,3.01,0.82,9.67,0.7,45137.23,94825.07,174.38,-331745.09,1,False,2,21,
120.92,0,273.44,3.01,0.82,9.52,0.67,45493.47,96507.81,178.82,-325572.83,1,False,2,21,
121.54,0,257.33,3.01,0.81,9.37,0.65,45849.99,98263.33,183.48,-319293.34,1,False,2,21,
122.16,0,241.24,3.01,0.81,9.22,0.62,46206.8,100097.08,188.39,-312906.55,1,False,2,21,
122.78,0,225.16,3.01,0.81,9.08,0.6,46563.92,102015.16,193.56,-306412.82,1,False,2,21,
123.4,0,209.1,3.01,0.8,8.94,0.58,46921.35,104024.19,199.01,-299812.58,1,False,2,21,
124.02,0,193.06,3.01,0.8,8.81,0.55,47279.11,106131.31,204.77,-293107.06,1,False,2,21,
124.64,0,177.03,3.01,0.79,8.68,0.53,47637.2,108344.58,210.84,-286296.82,1,False,2,21,
125.26,0,161.02,3.01,0.79,8.55,0.51,47995.65,110672.52,217.25,-279383.87,1,False,2,21,
125.88,0,145.02,3.01,0.78,8.42,0.49,48354.46,113124.58,224.04,-272370.42,1,False,2,21,
126.5,0,129.04,3.01,0.78,8.29,0.47,48713.65,115711,231.22,-265259.55,1,False,2,21,
127,0,115.2,3.01,0.76,8.21,0.46,48992.01,117813.09,237.08,-259423.51,1,False,2,20,
127.68,0,97.57,3.01,0.76,9,0.44,49398.5,120975.55,245.98,-251409.71,1,False,2,20,
128.36,0,80.46,3.01,0.75,10.89,0.42,49794.25,124413.42,255.46,-243379.17,1,False,2,20,
129.04,0,63.38,3.01,0.75,13.05,0.4,50191.17,128266.41,265.84,-235374.02,1,False,2,20,
129.74,0,45.81,3.01,0.74,15.26,0.38,50601.45,132682.37,277.49,-227184.01,1,False,2,20,
130.42,0,28.77,3.01,0.74,17.04,0.36,51002.08,137470.76,289.8,-219346.47,1,False,2,20,
131.1,0,11.75,3.01,0.74,17.73,0.34,51405.06,142682.44,302.98,-211558.45,1,False,2,20,
131.8,0,0,0,0,17.97,0.32,51822.37,146327.82,311.9,-206399.99,1,True,2,20,
132.44,0,0,0,0,18.1,0.3,52203.83,146413.96,311.45,-206324.55,2,True,2,8,
133.04,0,0,-0.06,-0.05,18.1,0.28,52560.83,146407.87,310.83,-206332.82,2,True,2,8,
133.54,0,0,0.12,0.11,18.1,0.27,52857.86,146453.23,310.45,-206269.55,2,True,2,8,
134.04,0,910.12,0.29,0.28,18.06,0.26,53154.52,146719.24,310.66,-205897.2,2,False,2,8,
134.68,0,908.05,0.52,0.49,16.39,0.24,53533.85,147437.94,311.87,-204960,2,False,2,8,
135.32,0,904.78,0.75,0.71,11.23,0.23,53912.87,148469.44,314.05,-203382.25,2,False,2,8,
135.96,0,900.32,0.97,0.92,8.7,0.21,54291.72,149796,317.17,-201155.4,2,False,2,8,
136.48,0,895.9,1.06,1,8.04,0.2,54599.42,151117.98,320.41,-198948.96,2,False,2,8,
137.08,0,890.66,1.06,1,7.61,0.19,54954.3,152706.24,324.32,-196333.21,2,False,2,8,
137.68,0,885.42,1.06,1,7.25,0.18,55309,154321.18,328.32,-193703.7,2,False,2,8,
138.26,0,880.17,1.07,1,6.97,0.17,55663.53,155963.92,332.39,-191060.91,2,False,2,8,
138.88,0,874.91,1.07,1,6.79,0.16,56017.86,157638.55,336.55,-188406.92,2,False,2,8,
139.48,0,869.65,1.07,1,6.69,0.15,56372.01,159348.96,340.8,-185743.65,2,False,2,8,
140.08,0,864.38,1.07,1,6.63,0.14,56725.98,161097.91,345.16,-183072.41,2,False,2,8,
140.68,0,859.1,1.08,1,6.61,0.14,57079.78,162887.51,349.61,-180394.16,2,False,2,8,
141.22,0,854.17,1.08,1,6.6,0.13,57398.06,164534.39,353.71,-177978.42,2,False,2,8,
141.78,0,849.34,1.04,0.96,6.61,0.12,57728,166241.7,357.95,-175522.68,2,False,2,8,
142.34,0,844.7,1,0.92,6.62,0.11,58057.81,167915.24,362.08,-173162.53,2,False,2,8,
